app_id,app_name,field,v1_value,final_value,official_evidence_url,human_v1_result,human_final_result,human_correction,human_notes
22,Twilio,credential_access,"free_trial — Sign up for a Twilio account, verify an email address and personal phone number, and provide project information; no credit card is required for the 30-day trial.","free_trial — Sign up for a Twilio account, verify an email address and personal phone number, and provide project information; no credit card is required for the 30-day trial.",https://www.twilio.com/docs/usage/trials,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
22,Twilio,api_styles,"REST, webhooks","REST, webhooks",https://www.twilio.com/docs/usage/api?swcfpc=1,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
22,Twilio,api_breadth,broad,broad,https://www.twilio.com/docs/usage/api?swcfpc=1,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
22,Twilio,mcp,official — Twilio's official repository provides an MCP server that exposes all Twilio APIs.,official — Twilio's official repository provides an MCP server that exposes all Twilio APIs.,https://github.com/twilio-labs/mcp,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
22,Twilio,buildability,ready,ready,https://www.twilio.com/docs/usage/trials,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
32,Meta Ads,description,Meta Marketing API is a collection of Graph API endpoints and features for advertising across Meta technologies.,Meta Marketing API is a collection of Graph API endpoints and features for advertising across Meta technologies.,https://developers.facebook.com/docs/marketing-apis,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
32,Meta Ads,auth_methods,token,token,https://developers.facebook.com/docs/facebook-login/guides/access-tokens,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
32,Meta Ads,credential_access,unknown — Register an app on developers.facebook.com and obtain an access token; relevant calls require granted permissions.,unknown — Register an app on developers.facebook.com and obtain an access token; relevant calls require granted permissions.,https://github.com/facebook/facebook-nodejs-business-sdk,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
32,Meta Ads,api_styles,HTTP,HTTP,https://developers.facebook.com/docs/graph-api/overview,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
32,Meta Ads,api_breadth,unknown,unknown,https://developers.facebook.com/docs/graph-api/overview,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
32,Meta Ads,mcp,"official — Meta documents an ads MCP server, accessed through the ads_mcp_management permission, for AI-agent interaction with Meta Ads.","official — Meta documents an ads MCP server, accessed through the ads_mcp_management permission, for AI-agent interaction with Meta Ads.",https://developers.facebook.com/docs/permissions/reference/ads_management,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
32,Meta Ads,buildability,ready,ready,https://developers.facebook.com/docs/marketing-apis,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
42,WooCommerce,description,"WooCommerce is a customizable, open-source eCommerce platform built on WordPress.","WooCommerce is a customizable, open-source eCommerce platform built on WordPress.",https://developer.woocommerce.com/docs/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
42,WooCommerce,auth_methods,"api_key, basic, other","api_key, basic, other",https://developer.woocommerce.com/docs/apis/rest-api/authentication/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
42,WooCommerce,credential_access,"free — For the free core WooCommerce plugin, a store administrator can generate Consumer Key and Consumer Secret credentials in WooCommerce settings for a selected WordPress user and permission level.","free — For the free core WooCommerce plugin, a store administrator can generate Consumer Key and Consumer Secret credentials in WooCommerce settings for a selected WordPress user and permission level.",https://woocommerce.com/document/woocommerce-rest-api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
42,WooCommerce,api_styles,"REST, GraphQL, PHP","REST, GraphQL, PHP",https://developer.woocommerce.com/docs/apis/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
42,WooCommerce,api_breadth,broad,broad,https://developer.woocommerce.com/docs/apis/rest-api/v3/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
42,WooCommerce,mcp,"official — WooCommerce documents native MCP support, currently in developer preview; it exposes product and order operations and is enabled through the mcp_integration feature flag.","official — WooCommerce documents native MCP support, currently in developer preview; it exposes product and order operations and is enabled through the mcp_integration feature flag.",https://developer.woocommerce.com/docs/features/mcp/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
42,WooCommerce,buildability,ready,ready,https://developer.woocommerce.com/docs/apis/rest-api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
52,SE Ranking,description,SE Ranking provides Data and Project APIs for retrieving SEO and marketing data and automating SEO-project management.,SE Ranking provides Data and Project APIs for retrieving SEO and marketing data and automating SEO-project management.,https://seranking.com/api/how-to-get-api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
52,SE Ranking,auth_methods,"api_key, oauth2","api_key, oauth2",https://seranking.com/api/data/getting-started/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
52,SE Ranking,credential_access,free_trial — A 14-day trial provides 100K API credits with no credit card required; users receive an API key after confirming their email.,free_trial — A 14-day trial provides 100K API credits with no credit card required; users receive an API key after confirming their email.,https://seranking.com/api-pricing.html,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
52,SE Ranking,api_styles,REST,REST,https://seranking.com/api/project/getting-started/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
52,SE Ranking,api_breadth,broad,broad,https://seranking.com/api/how-to-get-api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
52,SE Ranking,mcp,official — SE Ranking documents a centrally hosted and managed remote MCP server with 160+ tools.,official — SE Ranking documents a centrally hosted and managed remote MCP server with 160+ tools.,https://seranking.com/api/integrations/mcp/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
52,SE Ranking,buildability,ready,ready,https://seranking.com/api-pricing.html,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
62,Vercel,description,Vercel is a platform that enables frontend teams to do their best work.,Vercel is a platform that enables frontend teams to do their best work.,https://vercel.com/docs/rest-api,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
62,Vercel,auth_methods,token,token,https://vercel.com/kb/guide/how-do-i-use-a-vercel-api-access-token,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
62,Vercel,credential_access,unknown — A Vercel account is required; access tokens are created in Account Tokens settings.,unknown — A Vercel account is required; access tokens are created in Account Tokens settings.,https://vercel.com/kb/guide/how-do-i-use-a-vercel-api-access-token,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
62,Vercel,api_styles,"REST, TypeScript SDK, webhooks","REST, TypeScript SDK, webhooks",https://vercel.com/docs/rest-api,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
62,Vercel,api_breadth,broad,broad,https://vercel.com/docs/rest-api,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
62,Vercel,mcp,official — Vercel provides an official remote MCP server with OAuth.,official — Vercel provides an official remote MCP server with OAuth.,https://vercel.com/docs/agent-resources/vercel-mcp,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
62,Vercel,buildability,ready,ready,https://vercel.com/kb/guide/how-do-i-use-a-vercel-api-access-token,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
72,Airtable,description,"Airtable is a digital operations platform for building workflows that connect data, tools, and teams.","Airtable is a digital operations platform for building workflows that connect data, tools, and teams.",https://www.airtable.com/platform,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
72,Airtable,auth_methods,"token, other","token, other",https://support.airtable.com/docs/creating-personal-access-tokens,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
72,Airtable,credential_access,free — Create a personal access token in the Developer Hub; its scopes and accessible bases/workspaces are configured from the creator's existing permissions.,free — Create a personal access token in the Developer Hub; its scopes and accessible bases/workspaces are configured from the creator's existing permissions.,https://support.airtable.com/docs/creating-personal-access-tokens,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
72,Airtable,api_styles,"REST, webhooks","REST, webhooks",https://github.com/Airtable/airtable.js,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
72,Airtable,api_breadth,unknown,unknown,https://github.com/Airtable/airtable.js,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
72,Airtable,mcp,official — Airtable provides an MCP server for connecting MCP-compatible AI assistants to Airtable bases.,official — Airtable provides an MCP server for connecting MCP-compatible AI assistants to Airtable bases.,https://support.airtable.com/docs/using-the-airtable-mcp-server,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
72,Airtable,buildability,ready,ready,https://www.airtable.com/guides/customize/build-on-with-developer-resources,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
82,Plaid,description,Plaid provides an API for connecting users' financial accounts.,Plaid provides an API for connecting users' financial accounts.,https://plaid.com/docs/link/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
82,Plaid,auth_methods,"api_key, token, oauth2","api_key, token, oauth2",https://plaid.com/docs/api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
82,Plaid,credential_access,free_trial — Create a Dashboard account and verify your email address to start a Trial plan; Production usage is limited to 10 Items before an upgrade is required.,unknown — Official evidence was insufficient.,https://plaid.com/docs/account/billing/,correct,incorrect,Restore the evidence-supported V1 value: free_trial — Create a Dashboard account and verify your email address to start a Trial plan; Production usage is limited to 10 Items before an upgrade is required.,"Applicant approved the AI-assisted review decisions on 2026-08-19. V1 is supported by Plaid billing passages: Dashboard account + verified email starts a Trial, capped at 10 Production Items. Final's 'unknown — Official evidence was insufficient' contradicts that evidence."
82,Plaid,api_styles,"REST/JSON over HTTP, webhooks","REST/JSON over HTTP, webhooks",https://plaid.com/docs/api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
82,Plaid,api_breadth,broad,broad,https://plaid.com/docs/api/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
82,Plaid,mcp,official — Plaid hosts a remote Dashboard MCP server; it requires Production approval with at least one Plaid product.,official — Plaid hosts a remote Dashboard MCP server; it requires Production approval with at least one Plaid product.,https://plaid.com/docs/resources/mcp/,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
82,Plaid,buildability,conditional — Production use beyond 10 Items requires a paid-plan upgrade.,unknown — Unknown; no blocker was inferred.,https://plaid.com/docs/account/billing/,correct,incorrect,Restore the evidence-supported V1 value: conditional — Production use beyond 10 Items requires a paid-plan upgrade.,Applicant approved the AI-assisted review decisions on 2026-08-19. V1 is supported by Plaid billing passages: more than 10 Production Items requires a paid upgrade. Final's unknown/no-blocker statement is contradicted by that explicit blocker.
92,Otter AI,description,"Otter provides AI tools for creating and collaborating on transcriptions, including meeting recording, transcription, and automated summaries.","Otter provides AI tools for creating and collaborating on transcriptions, including meeting recording, transcription, and automated summaries.",https://help.otter.ai/hc/en-us/articles/360049722894-Otter-Quick-Start-Guide,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
92,Otter AI,auth_methods,"api_key, other","api_key, other",https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
92,Otter AI,credential_access,admin_gated — Public API access is for Enterprise workspaces/customers and must be enabled by an Otter account manager; API keys are then created from the Developer tab.,admin_gated — Public API access is for Enterprise workspaces/customers and must be enabled by an Otter account manager; API keys are then created from the Developer tab.,https://help.otter.ai/hc/en-us/articles/4412365535895-Does-Otter-offer-an-open-API,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
92,Otter AI,api_styles,"REST, webhooks","REST, webhooks",https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
92,Otter AI,api_breadth,moderate,moderate,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
92,Otter AI,mcp,"official — Otter documents an MCP server with user-info, search, and fetch tools for meeting data.","official — Otter documents an MCP server with user-info, search, and fetch tools for meeting data.",https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
92,Otter AI,buildability,conditional — Requires an Enterprise workspace; users without the feature are directed to contact their Otter account manager.,conditional — Requires an Enterprise workspace; users without the feature are directed to contact their Otter account manager.,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,unclear,unclear,,"Applicant approved the AI-assisted review decisions on 2026-08-19. The stored official passage supports this claim, but the independent browser review was Cloudflare-blocked (403/load_failed); a human-style reviewer cannot independently confirm it now."
